episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,66,12,RIGHT+FIRE,1,21.45,16.0,6.25,0.0,10,0.1796,,,3,1
1,67,12,RIGHT+FIRE,1,21.73,16.0,6.25,0.0,10,0.1816,,,3,1
1,68,12,RIGHT+FIRE,1,22.02,16.0,6.25,0.0,10,0.1857,,,3,1
1,69,12,RIGHT+FIRE,1,22.3,16.0,6.25,0.0,10,0.1858,,,3,1
1,70,12,RIGHT+FIRE,1,22.61,16.0,6.25,0.0,10,0.2038,,,3,1
1,71,12,RIGHT+FIRE,1,22.9,16.0,6.25,0.0,10,0.1836,,,3,1
1,72,12,RIGHT+FIRE,1,23.18,16.0,6.25,0.0,10,0.1878,,,3,1
1,73,12,RIGHT+FIRE,1,23.47,16.0,6.25,0.0,10,0.1857,,,3,1
1,74,12,RIGHT+FIRE,1,23.76,16.0,6.25,0.0,10,0.1919,,,3,1
1,75,12,RIGHT+FIRE,1,24.04,16.0,6.25,0.0,10,0.1796,,,3,1
1,76,12,RIGHT+FIRE,1,24.31,16.0,6.25,0.0,10,0.1775,,,3,1
1,77,12,RIGHT+FIRE,1,24.59,16.0,6.25,0.0,10,0.1816,,,3,1
1,78,12,RIGHT+FIRE,1,24.87,16.0,6.25,0.0,10,0.1795,,,3,1
1,79,12,RIGHT+FIRE,1,25.14,16.0,6.25,0.0,10,0.1775,,,3,1
1,80,12,RIGHT+FIRE,1,25.41,16.0,6.25,0.0,10,0.1775,,,3,1
1,81,12,RIGHT+FIRE,1,25.68,16.0,6.25,0.0,10,0.1735,,,3,1
1,82,12,RIGHT+FIRE,1,25.97,16.0,6.25,0.0,10,0.1898,,,3,1
1,83,12,RIGHT+FIRE,1,26.25,16.0,6.25,0.0,10,0.1816,,,3,1
1,84,12,RIGHT+FIRE,1,26.52,16.0,6.25,0.0,20,0.1916,,,3,2
1,85,12,RIGHT+FIRE,1,26.78,16.0,6.25,0.0,20,0.1693,,,3,2
1,86,12,RIGHT+FIRE,1,27.07,16.0,6.25,0.0,20,0.1836,,,3,2
1,87,12,RIGHT+FIRE,1,27.33,16.0,6.25,0.0,20,0.1734,,,3,2
1,88,12,RIGHT+FIRE,1,27.59,16.0,6.25,0.0,20,0.1693,,,3,2
1,89,12,RIGHT+FIRE,1,27.87,16.0,6.25,0.0,20,0.1795,,,3,2
1,90,12,RIGHT+FIRE,1,28.14,16.0,6.25,0.0,20,0.1775,,,3,2
1,91,12,RIGHT+FIRE,1,28.41,16.0,6.25,0.0,20,0.1775,,,3,2
1,92,12,RIGHT+FIRE,1,28.68,16.0,6.25,0.0,20,0.1775,,,3,2
1,93,12,RIGHT+FIRE,1,28.96,16.0,6.25,0.0,20,0.1775,,,3,2
1,94,12,RIGHT+FIRE,1,29.23,16.0,6.25,0.0,20,0.1795,,,3,2
1,95,12,RIGHT+FIRE,1,29.5,16.0,6.25,0.0,20,0.1775,,,3,2
1,96,12,RIGHT+FIRE,1,29.77,16.0,6.25,0.0,20,0.1734,,,3,2
1,97,12,RIGHT+FIRE,1,30.03,16.0,6.25,0.0,20,0.1693,,,3,2
1,98,12,RIGHT+FIRE,1,30.31,16.0,6.25,0.0,20,0.1796,,,3,2
1,99,12,RIGHT+FIRE,1,30.57,16.0,6.25,0.0,20,0.1734,,,3,2
1,100,12,RIGHT+FIRE,1,30.84,16.0,6.25,0.0,20,0.1775,,,3,2
1,101,12,RIGHT+FIRE,1,31.11,16.0,6.25,0.0,20,0.1755,,,3,2
1,102,12,RIGHT+FIRE,1,31.38,16.0,6.25,0.0,20,0.1733,,,3,2
1,103,12,RIGHT+FIRE,1,31.65,16.0,6.25,0.0,20,0.1775,,,3,2
1,104,12,RIGHT+FIRE,1,31.92,16.0,6.25,0.0,20,0.1734,,,3,2
