step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
1343488,cpu,8,16.056495,16.036000,0.020496,52.408118,0.000000,1020.40
1359872,cpu,8,16.545585,16.526370,0.019215,53.211088,0.000000,990.23
1376256,cpu,8,22.650605,22.627940,0.022666,52.132039,6.458268,723.34
1392640,cpu,8,15.363100,15.342631,0.020468,53.750542,0.000000,1066.45
1409024,cpu,8,16.221224,16.200655,0.020569,52.613401,0.000000,1010.03
1425408,cpu,8,16.354132,16.330323,0.023808,51.863835,0.000000,1001.83
1441792,cpu,8,91.909298,91.881401,0.027897,51.424050,75.376309,178.26
1458176,cpu,8,16.106990,16.087560,0.019431,53.887934,0.000000,1017.20
1474560,cpu,8,16.371808,16.351894,0.019914,52.303287,0.000000,1000.74
1490944,cpu,8,16.460471,16.440004,0.020466,51.166179,0.000000,995.35
1507328,cpu,8,16.169722,16.153495,0.016227,51.936381,0.000000,1013.25
1523712,cpu,8,102.571866,102.550335,0.021531,51.587491,86.100111,159.73
1540096,cpu,8,16.342753,16.319568,0.023185,50.729770,0.000000,1002.52
1556480,cpu,8,16.563482,16.541619,0.021863,51.005113,0.000000,989.16
1572864,cpu,8,16.512940,16.492683,0.020257,51.458798,0.000000,992.19
1589248,cpu,8,16.318695,16.294096,0.024598,51.623508,0.000000,1004.00
1605632,cpu,8,102.001659,101.985172,0.016487,52.725786,85.459102,160.62
1622016,cpu,8,15.618342,15.593042,0.025300,52.201878,0.000000,1049.02
1638400,cpu,8,15.381756,15.365960,0.015796,51.341919,0.000000,1065.16
1654784,cpu,8,15.873103,15.854940,0.018164,52.906599,0.000000,1032.19
1671168,cpu,8,15.799775,15.778824,0.020951,52.379361,0.000000,1036.98
1687552,cpu,8,162.977072,162.953635,0.023437,51.725514,146.512330,100.53
1703936,cpu,8,15.984487,15.962813,0.021675,52.682108,0.000000,1024.99
1720320,cpu,8,15.467542,15.445335,0.022207,54.043942,0.000000,1059.25
1736704,cpu,8,14.973056,14.949835,0.023220,53.344615,0.000000,1094.23
1753088,cpu,8,15.649098,15.626067,0.023031,53.004430,0.000000,1046.96
1769472,cpu,8,116.611163,116.585062,0.026100,51.383613,100.169065,140.50
1785856,cpu,8,16.279874,16.256361,0.023513,52.175168,0.000000,1006.40
1802240,cpu,8,15.381573,15.362911,0.018662,54.526556,0.000000,1065.17
1818624,cpu,8,15.417876,15.401186,0.016690,53.863918,0.000000,1062.66
1835008,cpu,8,16.400835,16.380152,0.020683,53.535948,0.000000,998.97
1851392,cpu,8,122.600088,122.575998,0.024091,51.653478,106.540020,133.64
1867776,cpu,8,16.415743,16.392758,0.022984,53.646970,0.000000,998.07
1884160,cpu,8,15.668996,15.648717,0.020280,52.233464,0.000000,1045.63
1900544,cpu,8,16.352016,16.329222,0.022794,52.929011,0.000000,1001.96
1916928,cpu,8,16.650878,16.632364,0.018514,51.785734,0.000000,983.97
1933312,cpu,8,120.075841,120.055297,0.020544,52.400365,103.424797,136.45
1949696,cpu,8,15.099233,15.083898,0.015334,52.576328,0.000000,1085.09
1966080,cpu,8,16.496137,16.480615,0.015522,52.036476,0.000000,993.20
1982464,cpu,8,15.647586,15.631391,0.016195,52.350026,0.000000,1047.06
1998848,cpu,8,16.580677,16.559952,0.020726,52.528103,0.000000,988.14
2015232,cpu,8,35.465341,35.446239,0.019102,52.726432,19.850249,461.97
2031616,cpu,8,16.423827,16.401407,0.022420,52.782136,0.000000,997.58
2048000,cpu,8,15.762433,15.741614,0.020819,53.014379,0.000000,1039.43
2064384,cpu,8,16.550609,16.523877,0.026732,53.061885,0.000000,989.93
2080768,cpu,8,110.366965,110.343305,0.023660,52.654004,94.306166,148.45
2097152,cpu,8,15.912781,15.887354,0.025428,52.179771,0.000000,1029.61
2113536,cpu,8,16.360701,16.339819,0.020882,52.483370,0.000000,1001.42
2129920,cpu,8,15.486237,15.459312,0.026925,52.624626,0.000000,1057.97
2146304,cpu,8,16.902161,16.881611,0.020550,53.001990,0.000000,969.34
2162688,cpu,8,35.829479,35.810903,0.018576,52.910768,20.397103,457.28
2179072,cpu,8,15.190995,15.171597,0.019398,52.703998,0.000000,1078.53
2195456,cpu,8,17.067433,17.041359,0.026074,52.482490,0.000000,959.96
2211840,cpu,8,15.678550,15.659425,0.019124,52.849772,0.000000,1044.99
2228224,cpu,8,17.202858,17.178324,0.024534,54.221447,0.000000,952.40
2244608,cpu,8,111.638756,111.619982,0.018774,52.674471,95.098648,146.76
2260992,cpu,8,15.750999,15.730761,0.020239,53.137081,0.000000,1040.19
2277376,cpu,8,15.812383,15.792787,0.019596,53.086933,0.000000,1036.15
2293760,cpu,8,17.083782,17.065593,0.018189,53.420749,0.000000,959.04
2310144,cpu,8,15.299143,15.277680,0.021462,53.494744,0.000000,1070.91
2326528,cpu,8,36.420882,36.403830,0.017052,52.442872,20.830082,449.85
2342912,cpu,8,20.497905,20.466237,0.031668,53.736789,0.000000,799.30
2359296,cpu,8,17.447625,17.425070,0.022555,53.690361,0.000000,939.04
2375680,cpu,8,15.528131,15.508111,0.020020,53.194268,0.000000,1055.12
2392064,cpu,8,16.281578,16.251381,0.030198,53.424321,0.000000,1006.29
2408448,cpu,8,102.050125,102.026281,0.023845,53.806533,85.265197,160.55
2424832,cpu,8,15.897949,15.874163,0.023786,53.156541,0.000000,1030.57
2441216,cpu,8,17.295365,17.271014,0.024352,52.873232,0.000000,947.31
2457600,cpu,8,16.465899,16.446369,0.019530,53.465400,0.000000,995.03
2473984,cpu,8,15.543445,15.524858,0.018587,53.791741,0.000000,1054.08
2490368,cpu,8,111.202341,111.177135,0.025206,53.123138,95.341807,147.34
2506752,cpu,8,15.494430,15.473517,0.020913,54.701128,0.000000,1057.41
2523136,cpu,8,16.099728,16.079384,0.020344,53.397045,0.000000,1017.66
2539520,cpu,8,17.639493,17.622443,0.017050,53.817235,0.000000,928.82
2555904,cpu,8,16.268659,16.244326,0.024333,53.442965,0.000000,1007.09
2572288,cpu,8,118.580187,118.557500,0.022687,54.067204,101.252809,138.17
2588672,cpu,8,16.297637,16.279987,0.017650,52.562193,0.000000,1005.30
2605056,cpu,8,15.610319,15.593759,0.016559,54.049382,0.000000,1049.56
2621440,cpu,8,15.957327,15.937426,0.019901,53.813199,0.000000,1026.74
2637824,cpu,8,17.010982,16.986687,0.024294,54.034171,0.000000,963.14
2654208,cpu,8,87.190237,87.165778,0.024459,52.401364,70.554371,187.91
2670592,cpu,8,17.087898,17.068148,0.019750,53.371350,0.000000,958.81
2686976,cpu,8,17.358274,17.342287,0.015986,52.909036,0.000000,943.87
2703360,cpu,8,16.263802,16.244640,0.019162,53.018036,0.000000,1007.39
2719744,cpu,8,15.879907,15.856708,0.023199,53.876438,0.000000,1031.74
2736128,cpu,8,115.262477,115.243354,0.019123,55.060258,97.714209,142.15
2752512,cpu,8,17.281773,17.263696,0.018077,52.941833,0.000000,948.05
2768896,cpu,8,16.454818,16.429371,0.025447,53.264774,0.000000,995.70
2785280,cpu,8,16.314076,16.290932,0.023144,53.587534,0.000000,1004.29
2801664,cpu,8,130.375602,130.358635,0.016968,55.707980,114.059088,125.67
2818048,cpu,8,16.901745,16.876301,0.025443,53.437436,0.000000,969.37
2834432,cpu,8,16.667497,16.643965,0.023533,54.708737,0.000000,982.99
2850816,cpu,8,18.805114,18.781625,0.023489,53.514292,0.000000,871.25
2867200,cpu,8,20.589102,20.566295,0.022806,60.367452,0.000000,795.76
2883584,cpu,8,114.468040,114.448437,0.019602,55.038416,97.949467,143.13
2899968,cpu,8,15.306782,15.287843,0.018939,56.044904,0.000000,1070.38
2916352,cpu,8,14.543727,14.518051,0.025675,48.119157,0.000000,1126.53
2932736,cpu,8,15.641380,15.619746,0.021634,48.551808,0.000000,1047.48
2949120,cpu,8,15.861973,15.841170,0.020803,47.862376,0.000000,1032.91
2965504,cpu,8,119.246261,119.222444,0.023816,48.335623,104.612304,137.40
2981888,cpu,8,14.513720,14.495485,0.018236,46.575968,0.000000,1128.86
2998272,cpu,8,15.025647,15.008130,0.017517,47.869314,0.000000,1090.40
3014656,cpu,8,14.890221,14.872912,0.017309,46.719158,0.000000,1100.32
3031040,cpu,8,14.549332,14.528646,0.020686,47.868204,0.000000,1126.10
3047424,cpu,8,105.623922,105.607356,0.016566,46.317332,91.109313,155.12
3063808,cpu,8,15.464943,15.441808,0.023135,49.994348,0.000000,1059.43
3080192,cpu,8,15.276061,15.252082,0.023978,47.808699,0.000000,1072.53
3096576,cpu,8,15.140687,15.118353,0.022334,47.092383,0.000000,1082.12
