Run,Arch,Game,Persona,Budget,Steps,Episodes,Wins,Deaths,WinRate,AvgReward,MaxX,TopDeathCause,LearningTrend,BestLevel_WR,MaxRewardDominance
adept  | expert,LightMobile,Mario,adept,expert,800000,196,45,151,23.0,12.22,195.4,Pit (33%),IMPROVING 0→30%,Mario1-2: 31.7%,max_x_seen 98.7%
adept  | expert,LightMobile,Mega Man,adept,expert,800000,978,121,857,12.4,-1.741,4331.2,Spike (78%),IMPROVING 0→61%,MM-Stage1: 90.3%,max_x_seen 97.5%
simple | expert,LightMobile,Mega Man,simple,expert,800000,817,9,808,1.1,-1.635,5130.1,Spike (72%),IMPROVING 0→5%,MM-Stage1: 19.6%,max_x_seen 98.9%
adept  | novice,LightMobile,Mario,adept,novice,800000,243,0,243,0.0,6.579,45.0,Stall (60%),FLAT 0→0%,Mario1-1: 0%,max_x_seen 91.1%
simple | novice,LightMobile,Mega Man,simple,novice,800000,865,0,865,0.0,-3.119,971.9,Spike (65%),FLAT 0→0%,MM-Train4: 0%,max_x_seen 97.1%
adept  | novice,LightMobile,Mega Man,adept,novice,800000,864,0,864,0.0,-4.927,972.8,Spike (79%),FLAT 0→0%,MM-Train4: 0%,max_x_seen 97.0%
