step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
1327104,cpu,8,11.331873,11.317423,0.014450,12.594468,0.000000,1445.83
1343488,cpu,8,11.319816,11.296718,0.023098,12.648659,0.000000,1447.37
1359872,cpu,8,11.474099,11.459193,0.014906,12.717608,0.000000,1427.91
1376256,cpu,8,50.135971,50.119186,0.016785,12.724026,38.905892,326.79
1392640,cpu,8,11.639949,11.625091,0.014858,12.761882,0.000000,1407.57
1409024,cpu,8,11.210611,11.196491,0.014120,12.775273,0.000000,1461.47
1425408,cpu,8,11.024685,11.010530,0.014155,12.553780,0.000000,1486.12
1441792,cpu,8,44.820948,44.806049,0.014898,12.822450,33.285219,365.54
1458176,cpu,8,10.977557,10.962964,0.014594,12.954715,0.000000,1492.50
1474560,cpu,8,11.343132,11.328857,0.014274,12.901214,0.000000,1444.40
1490944,cpu,8,11.421319,11.403642,0.017677,12.654099,0.000000,1434.51
1507328,cpu,8,11.434168,11.419591,0.014577,12.424248,0.000000,1432.90
1523712,cpu,8,43.188432,43.173986,0.014445,12.614881,31.913530,379.36
1540096,cpu,8,11.063934,11.050108,0.013826,12.509428,0.000000,1480.85
1556480,cpu,8,11.161811,11.141258,0.020553,12.362482,0.000000,1467.86
1572864,cpu,8,10.917153,10.903517,0.013637,12.535831,0.000000,1500.76
1589248,cpu,8,10.558623,10.543082,0.015541,12.127529,0.000000,1551.72
1605632,cpu,8,18.803422,18.785815,0.017607,12.257735,8.256892,871.33
1622016,cpu,8,10.538975,10.525026,0.013949,12.182215,0.000000,1554.61
1638400,cpu,8,10.702193,10.688202,0.013991,12.158028,0.000000,1530.90
1654784,cpu,8,10.546539,10.532185,0.014354,12.151652,0.000000,1553.50
1671168,cpu,8,10.598711,10.577128,0.021582,12.155350,0.000000,1545.85
1687552,cpu,8,100.908246,100.890970,0.017276,12.164363,90.260236,162.37
1703936,cpu,8,10.895325,10.881546,0.013779,12.136852,0.000000,1503.76
1720320,cpu,8,10.853911,10.836220,0.017691,12.142628,0.000000,1509.50
1736704,cpu,8,10.598376,10.584311,0.014064,12.226169,0.000000,1545.90
1753088,cpu,8,10.669539,10.653261,0.016278,12.283182,0.000000,1535.59
1769472,cpu,8,74.199496,74.183784,0.015713,12.249937,63.551010,220.81
